Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,,BMR,mean_cal_activity,,,,,,,,,,
8/23/18,"4,232","14,696",6.93,11,653,210,18,79,"2,261",1971,,,,,,,,,,,,
8/24/18,"2,168",68,0.03,0,994,7,0,0,32,2136,,,,,,,,,,,,
8/25/18,"3,719","4,054",1.91,7,"1,190",204,23,23,"1,731",1988,,,,,,,,,,,,
8/26/18,799,207,0.1,1,28,13,0,0,51,748,,,,,,,,,,,,
8/27/18,"4,458","15,714",7.48,15,608,259,9,96,"2,692",1766,,,,,,,,,,,,
8/28/18,"3,757","12,569",5.93,14,717,218,8,58,"1,874",1883,,,,,,,,,,,,
8/29/18,"3,222","8,559",4.04,16,853,166,4,35,"1,266",1956,,,,,,,,,,,,
8/30/18,"3,253","6,682",3.15,7,793,234,14,9,"1,389",1864,,,,,,,,,,,,
8/31/18,"4,415","15,415",7.46,17,744,211,8,104,"2,640",1775,,,,,,,,,,,,
9/1/18,"3,020","3,952",1.86,7,798,133,13,5,852,2168,,,,,,,,,,,,
9/2/18,"2,918","3,181",1.5,6,872,163,0,0,811,2107,,,,,,,,,,,,
9/3/18,"2,936","4,743",2.24,6,754,155,8,15,915,2021,,,,,,,,,,,,
9/4/18,"3,201","7,343",3.46,5,631,269,6,3,"1,374",1827,,,,,,,,,,,,
9/5/18,"3,395","7,943",3.86,18,"1,040",184,16,33,"1,514",1881,,,,,,,,,,,,
9/6/18,"2,907","5,641",2.66,5,746,195,0,0,983,1924,,,,,,,,,,,,
9/7/18,"3,829","9,591",4.52,7,683,242,20,43,"1,922",1907,,,,,,,,,,,,
9/8/18,"4,031","13,798",6.65,16,634,237,16,76,"2,230",1801,,,,,,,,,,,,
9/9/18,"3,682","9,360",4.41,9,734,234,22,46,"1,872",1810,,,,,,,,,,,,
9/10/18,"2,977","5,951",2.81,18,835,158,10,4,"1,002",1975,,,,,,,,,,,,
9/11/18,"2,824","4,446",2.1,1,781,154,6,4,829,1995,,,,,,,,,,,,
9/12/18,"3,047","7,512",3.54,6,676,179,17,13,"1,175",1872,,,,,,,,,,,,
9/13/18,"3,044","6,480",3.06,10,885,190,1,13,"1,118",1926,,,,,,,,,,,,
